equipmentid,facilityid,areaid,equipmentname,equipmenttype,brand,model,serialnumber,purchasedate,purchaseprice,warrantyexpiry,status
EQ0372,FAC002,AR013,Resistance Bands #33,Free Weights,Life Fitness,ResistanceBands-570,6B2B830E-907,2025-06-06,35,2028-06-05,Active
EQ0373,FAC002,AR014,Treadmill #1,Cardio,StairMaster,Treadmill-834,0A834483-3D7,2021-07-17,7988,2022-07-17,Active
EQ0374,FAC002,AR014,Treadmill #2,Cardio,TRX,Treadmill-198,E43CAEFF-E03,2022-01-02,3677,2023-01-02,Active
EQ0375,FAC002,AR014,Treadmill #3,Cardio,Technogym,Treadmill-822,EFD37D8D-DFC,2025-03-15,3841,2028-03-14,Active
EQ0376,FAC002,AR014,Treadmill #4,Cardio,Bowflex,Treadmill-694,56735CF5-60A,2022-06-02,6799,2023-06-02,Active
EQ0377,FAC002,AR014,Treadmill #5,Cardio,Precor,Treadmill-384,1E6BC415-794,2025-01-07,3111,2028-01-07,Maintenance
EQ0378,FAC002,AR014,Treadmill #6,Cardio,Technogym,Treadmill-921,8D9C1A00-9CE,2025-03-16,5015,2027-03-16,Active
EQ0379,FAC002,AR014,Treadmill #7,Cardio,Schwinn,Treadmill-587,ADC93771-145,2024-07-10,7148,2027-07-10,Active
EQ0380,FAC002,AR014,Treadmill #8,Cardio,StairMaster,Treadmill-673,597AED8D-19E,2023-10-08,3043,2025-10-07,Active
EQ0381,FAC002,AR014,Treadmill #9,Cardio,NordicTrack,Treadmill-865,8C632280-005,2021-08-15,3759,2024-08-14,Active
EQ0382,FAC002,AR014,Elliptical #1,Cardio,NordicTrack,Elliptical-469,65EB1EA5-693,2025-08-22,4471,2026-08-22,Active
EQ0383,FAC002,AR014,Elliptical #2,Cardio,Schwinn,Elliptical-453,BD559741-7DC,2024-04-29,4733,2026-04-29,Active
EQ0384,FAC002,AR014,Elliptical #3,Cardio,NordicTrack,Elliptical-746,295EA2FD-C56,2023-03-04,2944,2025-03-03,Active
EQ0385,FAC002,AR014,Elliptical #4,Cardio,Schwinn,Elliptical-364,886DB565-17C,2023-03-12,5175,2024-03-11,Active
EQ0386,FAC002,AR014,Elliptical #5,Cardio,Bowflex,Elliptical-235,649E3C7F-4C2,2022-02-15,5122,2023-02-15,Maintenance
EQ0387,FAC002,AR014,Elliptical #6,Cardio,StairMaster,Elliptical-749,38156867-81F,2023-06-24,5334,2026-06-23,Active
EQ0388,FAC002,AR014,Elliptical #7,Cardio,StairMaster,Elliptical-465,E44B65F1-600,2024-06-10,4481,2025-06-10,Active
EQ0389,FAC002,AR014,Elliptical #8,Cardio,Cybex,Elliptical-552,7C3F4008-EA6,2024-04-13,4650,2026-04-13,Maintenance
EQ0390,FAC002,AR014,Elliptical #9,Cardio,Schwinn,Elliptical-811,50ED0239-74C,2023-06-01,5425,2025-05-31,Active
EQ0391,FAC002,AR014,Elliptical #10,Cardio,Technogym,Elliptical-427,30610351-5E2,2022-10-25,3570,2025-10-24,Maintenance
EQ0392,FAC002,AR014,Elliptical #11,Cardio,Cybex,Elliptical-320,31F767A0-1CC,2021-01-09,4958,2023-01-09,Out of Service
EQ0393,FAC002,AR014,Elliptical #12,Cardio,StairMaster,Elliptical-870,E16F3390-CDA,2021-02-10,5307,2022-02-10,Active
EQ0394,FAC002,AR014,Stationary Bike #1,Cardio,Matrix,StationaryBike-441,F7B5FA07-986,2023-10-27,3345,2024-10-26,Active
EQ0395,FAC002,AR014,Stationary Bike #2,Cardio,Schwinn,StationaryBike-544,2FDC7BC2-F3B,2022-05-30,3649,2023-05-30,Active
EQ0396,FAC002,AR014,Stationary Bike #3,Cardio,StairMaster,StationaryBike-374,1B275216-6AD,2024-12-11,3958,2027-12-11,Active
EQ0397,FAC002,AR014,Stationary Bike #4,Cardio,Precor,StationaryBike-350,8ECB9662-DC0,2024-07-02,1562,2025-07-02,Out of Service
EQ0398,FAC002,AR014,Stationary Bike #5,Cardio,Cybex,StationaryBike-690,5F57BB56-0CF,2023-01-15,3984,2024-01-15,Maintenance
EQ0399,FAC002,AR014,Stationary Bike #6,Cardio,Bowflex,StationaryBike-622,DB46186C-D56,2023-08-22,3590,2025-08-21,Active
EQ0400,FAC002,AR014,Stationary Bike #7,Cardio,NordicTrack,StationaryBike-839,D4859864-BA9,2023-02-24,1936,2024-02-24,Active
EQ0401,FAC002,AR014,Stationary Bike #8,Cardio,Precor,StationaryBike-740,239DFD7C-951,2023-05-25,2398,2024-05-24,Active
EQ0402,FAC002,AR014,Stationary Bike #9,Cardio,Matrix,StationaryBike-782,0217F1CC-60F,2023-12-13,2064,2026-12-12,Active
EQ0403,FAC002,AR014,Stationary Bike #10,Cardio,NordicTrack,StationaryBike-229,AD38DE8B-C60,2021-06-08,3520,2024-06-07,Active
EQ0404,FAC002,AR014,Stationary Bike #11,Cardio,Technogym,StationaryBike-351,08B6EBC3-331,2023-08-07,2505,2024-08-06,Active
EQ0405,FAC002,AR014,Stationary Bike #12,Cardio,NordicTrack,StationaryBike-291,CAEC8DF0-EFA,2021-10-31,3690,2024-10-30,Maintenance
EQ0406,FAC002,AR014,Stationary Bike #13,Cardio,Bowflex,StationaryBike-876,C48579D5-738,2024-05-13,2152,2027-05-13,Active
EQ0407,FAC002,AR014,Stationary Bike #14,Cardio,Technogym,StationaryBike-592,2594CCF8-82D,2024-05-03,3730,2026-05-03,Active
EQ0408,FAC002,AR014,Stationary Bike #15,Cardio,Cybex,StationaryBike-191,64339BAF-94A,2022-05-01,1917,2024-04-30,Active
EQ0409,FAC002,AR014,Rowing Machine #1,Cardio,Life Fitness,RowingMachine-853,F4A4A138-91C,2023-01-08,1210,2026-01-07,Active
EQ0410,FAC002,AR014,Rowing Machine #2,Cardio,Matrix,RowingMachine-719,A351A2BB-902,2022-08-04,1525,2025-08-03,Active
EQ0411,FAC002,AR014,Rowing Machine #3,Cardio,StairMaster,RowingMachine-411,61C81B60-306,2021-05-24,1549,2023-05-24,Out of Service
EQ0412,FAC002,AR014,Rowing Machine #4,Cardio,Precor,RowingMachine-111,7E5E978C-7AB,2023-08-31,1347,2025-08-30,Out of Service
EQ0413,FAC002,AR014,Rowing Machine #5,Cardio,Bowflex,RowingMachine-681,5267880A-EE6,2024-03-01,1116,2027-03-01,Active
EQ0414,FAC002,AR014,StairMaster #1,Cardio,TRX,StairMaster-654,84E36793-423,2025-09-23,4420,2027-09-23,Active
EQ0415,FAC002,AR014,StairMaster #2,Cardio,TRX,StairMaster-936,709F698E-C78,2021-11-08,4259,2022-11-08,Active
EQ0416,FAC002,AR014,StairMaster #3,Cardio,Matrix,StairMaster-323,0B15B8D8-381,2024-11-17,4706,2026-11-17,Active
EQ0417,FAC002,AR015,Bench Press #1,Strength,Life Fitness,BenchPress-960,303E7FC9-AAB,2025-03-23,2834,2028-03-22,Active
EQ0418,FAC002,AR015,Bench Press #2,Strength,TRX,BenchPress-111,67320787-677,2024-12-05,1965,2027-12-05,Active
EQ0419,FAC002,AR015,Bench Press #3,Strength,Cybex,BenchPress-134,269E7861-C17,2024-12-02,1287,2025-12-02,Active
EQ0420,FAC002,AR015,Bench Press #4,Strength,Technogym,BenchPress-650,EDCA85E2-203,2024-03-21,2555,2026-03-21,Maintenance
EQ0421,FAC002,AR015,Bench Press #5,Strength,StairMaster,BenchPress-688,C903CA9D-3D5,2021-02-21,2097,2022-02-21,Maintenance
EQ0422,FAC002,AR015,Bench Press #6,Strength,Bowflex,BenchPress-707,167E573C-419,2025-01-29,2064,2027-01-29,Active
EQ0423,FAC002,AR015,Squat Rack #1,Strength,Bowflex,SquatRack-871,04546D00-465,2024-10-07,3070,2025-10-07,Active
EQ0424,FAC002,AR015,Squat Rack #2,Strength,TRX,SquatRack-686,7007CA74-4BA,2021-09-23,2464,2024-09-22,Active
EQ0425,FAC002,AR015,Squat Rack #3,Strength,TRX,SquatRack-310,3D95B7C6-529,2022-04-27,4138,2025-04-26,Active
EQ0426,FAC002,AR015,Cable Machine #1,Strength,Schwinn,CableMachine-278,F43F9C38-3D5,2021-03-01,3823,2023-03-01,Active
EQ0427,FAC002,AR015,Cable Machine #2,Strength,TRX,CableMachine-719,9559280C-8AA,2025-07-24,5662,2027-07-24,Active
EQ0428,FAC002,AR015,Cable Machine #3,Strength,StairMaster,CableMachine-341,81BB79B6-3DE,2020-10-20,3180,2021-10-20,Active
EQ0429,FAC002,AR015,Cable Machine #4,Strength,Technogym,CableMachine-667,93594157-62A,2024-10-01,5865,2027-10-01,Active
EQ0430,FAC002,AR015,Cable Machine #5,Strength,Schwinn,CableMachine-496,A287FB5B-9DF,2022-01-17,6989,2024-01-17,Active
EQ0431,FAC002,AR015,Cable Machine #6,Strength,StairMaster,CableMachine-452,6BBB8CCF-95C,2021-10-27,5411,2024-10-26,Active
EQ0432,FAC002,AR015,Cable Machine #7,Strength,NordicTrack,CableMachine-632,8D1A9FFE-738,2024-01-16,4467,2027-01-15,Active
EQ0433,FAC002,AR015,Leg Press #1,Strength,Life Fitness,LegPress-434,73C36473-894,2024-02-04,4175,2027-02-03,Maintenance
EQ0434,FAC002,AR015,Leg Press #2,Strength,Cybex,LegPress-163,639737BF-CAC,2023-01-14,4513,2024-01-14,Maintenance
EQ0435,FAC002,AR015,Smith Machine #1,Strength,Precor,SmithMachine-283,0BDF1E33-43C,2020-11-14,3300,2021-11-14,Active
EQ0436,FAC002,AR020,Spin Bikes #1,Studio Equipment,NordicTrack,SpinBikes-248,82B82F81-DC1,2022-07-05,1453,2025-07-04,Active
EQ0437,FAC002,AR020,Spin Bikes #2,Studio Equipment,Cybex,SpinBikes-681,35761571-86E,2022-06-27,1993,2025-06-26,Active
EQ0438,FAC002,AR020,Spin Bikes #3,Studio Equipment,Precor,SpinBikes-413,24E19167-D22,2025-07-11,2478,2028-07-10,Active
EQ0439,FAC002,AR020,Spin Bikes #4,Studio Equipment,Life Fitness,SpinBikes-212,3E377C54-796,2021-11-11,1323,2022-11-11,Active
EQ0440,FAC002,AR020,Spin Bikes #5,Studio Equipment,Matrix,SpinBikes-566,DCDCC2AC-97F,2023-06-28,2383,2025-06-27,Active
EQ0441,FAC002,AR020,Spin Bikes #6,Studio Equipment,Cybex,SpinBikes-117,298A6DB8-658,2025-07-01,2013,2028-06-30,Active
EQ0442,FAC002,AR020,Spin Bikes #7,Studio Equipment,StairMaster,SpinBikes-560,9222E15F-DA7,2023-11-13,2347,2024-11-12,Active
EQ0443,FAC002,AR020,Spin Bikes #8,Studio Equipment,Cybex,SpinBikes-202,EE263CF9-E15,2025-03-19,2389,2026-03-19,Active
EQ0444,FAC002,AR020,Spin Bikes #9,Studio Equipment,Precor,SpinBikes-980,A341A966-FD3,2024-11-09,1884,2025-11-09,Active
EQ0445,FAC002,AR020,Spin Bikes #10,Studio Equipment,Matrix,SpinBikes-944,B6DC96E1-11D,2025-06-17,1919,2026-06-17,Active
EQ0446,FAC002,AR020,Spin Bikes #11,Studio Equipment,Bowflex,SpinBikes-861,1955D46F-2BE,2022-01-24,1460,2023-01-24,Active
EQ0447,FAC002,AR020,Spin Bikes #12,Studio Equipment,Technogym,SpinBikes-832,B8B9FDB3-A79,2023-11-12,1682,2026-11-11,Active
EQ0448,FAC002,AR020,Spin Bikes #13,Studio Equipment,Precor,SpinBikes-988,8011471D-2B4,2020-11-06,1893,2023-11-06,Active
EQ0449,FAC002,AR020,Spin Bikes #14,Studio Equipment,Bowflex,SpinBikes-225,3CD893A3-9D3,2025-07-31,1580,2026-07-31,Active
EQ0450,FAC002,AR020,Spin Bikes #15,Studio Equipment,Cybex,SpinBikes-542,34E10D8E-3ED,2023-06-13,2012,2025-06-12,Out of Service
EQ0451,FAC002,AR020,Spin Bikes #16,Studio Equipment,StairMaster,SpinBikes-684,265ACAE7-EF6,2024-09-21,1492,2025-09-21,Active
EQ0452,FAC002,AR020,Spin Bikes #17,Studio Equipment,Bowflex,SpinBikes-520,BD01E36C-2FE,2023-03-19,1941,2026-03-18,Active
EQ0453,FAC002,AR020,Spin Bikes #18,Studio Equipment,Life Fitness,SpinBikes-876,8507D0E6-C28,2023-10-05,2027,2024-10-04,Out of Service
EQ0454,FAC002,AR020,Sound System #1,Studio Equipment,StairMaster,SoundSystem-967,D0AA4C7E-40D,2023-12-27,3897,2026-12-26,Active
EQ0455,FAC002,AR021,Sound System #1,Studio Equipment,Cybex,SoundSystem-567,1CBE3566-7AD,2023-06-14,3279,2024-06-13,Maintenance
EQ0456,FAC002,AR021,Mirrors #1,Studio Equipment,Technogym,Mirrors-502,6B2DC979-2FB,2022-11-12,356,2025-11-11,Active
EQ0457,FAC002,AR021,Mirrors #2,Studio Equipment,Schwinn,Mirrors-448,B546B75B-035,2020-12-16,274,2021-12-16,Active
EQ0458,FAC002,AR021,Mirrors #3,Studio Equipment,Cybex,Mirrors-237,4898A9EC-C0F,2022-07-06,222,2023-07-06,Active
EQ0459,FAC002,AR021,Mirrors #4,Studio Equipment,Schwinn,Mirrors-243,2AE8CDC8-DAE,2023-09-19,426,2025-09-18,Maintenance
EQ0460,FAC002,AR021,Yoga Mats #1,Studio Equipment,Matrix,YogaMats-607,20355D72-D84,2025-07-13,20,2026-07-13,Active
EQ0461,FAC002,AR021,Yoga Mats #2,Studio Equipment,Bowflex,YogaMats-689,88B4D238-BD4,2023-03-27,44,2024-03-26,Maintenance
EQ0462,FAC002,AR021,Yoga Mats #3,Studio Equipment,Matrix,YogaMats-311,3698BA5A-C9A,2021-10-02,47,2024-10-01,Active
EQ0463,FAC002,AR021,Yoga Mats #4,Studio Equipment,Life Fitness,YogaMats-727,C2132F8C-AAA,2023-12-09,42,2026-12-08,Active
EQ0464,FAC002,AR021,Yoga Mats #5,Studio Equipment,TRX,YogaMats-782,73A9E651-7B9,2024-10-04,28,2026-10-04,Active
EQ0465,FAC002,AR021,Yoga Mats #6,Studio Equipment,Cybex,YogaMats-406,29B22768-6EC,2021-05-23,42,2023-05-23,Active
EQ0466,FAC002,AR021,Yoga Mats #7,Studio Equipment,Technogym,YogaMats-656,9EF7144B-B9F,2022-06-06,46,2025-06-05,Maintenance
EQ0467,FAC002,AR021,Yoga Mats #8,Studio Equipment,StairMaster,YogaMats-239,2F846815-C1F,2021-09-01,21,2023-09-01,Active
EQ0468,FAC002,AR021,Yoga Mats #9,Studio Equipment,Bowflex,YogaMats-196,5E00BCEC-AB1,2023-09-18,33,2026-09-17,Active
EQ0469,FAC002,AR021,Yoga Mats #10,Studio Equipment,Schwinn,YogaMats-583,BA2667E9-02F,2022-05-06,30,2023-05-06,Active
EQ0470,FAC002,AR021,Yoga Mats #11,Studio Equipment,NordicTrack,YogaMats-120,0377F6A5-9DA,2021-07-11,20,2024-07-10,Out of Service
EQ0471,FAC002,AR021,Yoga Mats #12,Studio Equipment,TRX,YogaMats-601,65A34019-F8B,2024-06-18,41,2025-06-18,Active
EQ0472,FAC002,AR021,Yoga Mats #13,Studio Equipment,Schwinn,YogaMats-977,E8140012-CFA,2023-11-24,45,2026-11-23,Out of Service
EQ0473,FAC002,AR021,Yoga Mats #14,Studio Equipment,Bowflex,YogaMats-843,2C060E55-9E1,2021-08-26,21,2022-08-26,Maintenance
EQ0474,FAC002,AR021,Yoga Mats #15,Studio Equipment,Schwinn,YogaMats-864,F51A34BD-410,2023-10-17,24,2025-10-16,Out of Service
EQ0475,FAC002,AR021,Yoga Mats #16,Studio Equipment,Bowflex,YogaMats-192,3DBC3465-2A5,2022-06-01,48,2023-06-01,Active
EQ0476,FAC002,AR021,Yoga Mats #17,Studio Equipment,Life Fitness,YogaMats-766,7F399887-522,2024-01-17,32,2025-01-16,Active
EQ0477,FAC002,AR021,Yoga Mats #18,Studio Equipment,Matrix,YogaMats-798,EFE5E7E4-841,2023-03-15,15,2026-03-14,Active
EQ0478,FAC002,AR021,Yoga Mats #19,Studio Equipment,TRX,YogaMats-437,6412D498-9F9,2024-05-13,38,2025-05-13,Maintenance
EQ0479,FAC002,AR021,Yoga Mats #20,Studio Equipment,Precor,YogaMats-903,3B97F572-8ED,2020-12-02,20,2021-12-02,Active
EQ0480,FAC002,AR021,Yoga Mats #21,Studio Equipment,NordicTrack,YogaMats-926,C4FA23AB-227,2022-02-10,44,2025-02-09,Active
EQ0481,FAC002,AR021,Yoga Mats #22,Studio Equipment,Schwinn,YogaMats-266,51F496DE-46B,2021-10-10,36,2023-10-10,Active
EQ0482,FAC002,AR021,Yoga Mats #23,Studio Equipment,Schwinn,YogaMats-909,6E8F463C-E24,2022-09-06,50,2024-09-05,Active
EQ0483,FAC002,AR021,Yoga Mats #24,Studio Equipment,Technogym,YogaMats-209,3474432D-3C0,2022-04-11,50,2025-04-10,Active
EQ0484,FAC002,AR021,Yoga Mats #25,Studio Equipment,Bowflex,YogaMats-169,9EF52A91-6A7,2022-09-23,26,2025-09-22,Active
EQ0485,FAC002,AR021,Yoga Mats #26,Studio Equipment,TRX,YogaMats-460,39ADF72F-3B9,2024-04-09,49,2025-04-09,Maintenance
EQ0486,FAC002,AR021,Yoga Mats #27,Studio Equipment,NordicTrack,YogaMats-621,F89B75FF-BFB,2022-07-11,24,2025-07-10,Active
EQ0487,FAC002,AR021,Yoga Mats #28,Studio Equipment,Life Fitness,YogaMats-508,DE466AFF-B67,2022-05-21,36,2023-05-21,Active
EQ0488,FAC002,AR021,Yoga Mats #29,Studio Equipment,Bowflex,YogaMats-985,F14F9412-46B,2022-04-12,24,2024-04-11,Active
EQ0489,FAC002,AR021,Yoga Mats #30,Studio Equipment,NordicTrack,YogaMats-518,58A7B0B7-117,2022-08-04,49,2025-08-03,Active
EQ0490,FAC002,AR021,Stability Balls #1,Studio Equipment,Technogym,StabilityBalls-749,4ED6B13E-ECC,2023-02-08,33,2026-02-07,Maintenance
EQ0491,FAC002,AR021,Stability Balls #2,Studio Equipment,Precor,StabilityBalls-763,9716A7DA-7F9,2020-12-01,60,2023-12-01,Active
EQ0492,FAC002,AR021,Stability Balls #3,Studio Equipment,Life Fitness,StabilityBalls-854,77CF582F-67E,2021-01-25,49,2022-01-25,Active
EQ0493,FAC002,AR021,Stability Balls #4,Studio Equipment,NordicTrack,StabilityBalls-856,B1D56313-CF1,2022-08-03,48,2023-08-03,Active
EQ0494,FAC002,AR021,Stability Balls #5,Studio Equipment,Precor,StabilityBalls-561,FB5676D9-B4C,2021-11-29,27,2022-11-29,Active
EQ0495,FAC002,AR021,Stability Balls #6,Studio Equipment,Technogym,StabilityBalls-876,6BBA4F71-909,2024-12-30,52,2025-12-30,Maintenance
EQ0496,FAC002,AR021,Stability Balls #7,Studio Equipment,Technogym,StabilityBalls-168,B090388B-34D,2024-09-03,22,2025-09-03,Active
EQ0497,FAC002,AR021,Stability Balls #8,Studio Equipment,TRX,StabilityBalls-270,6D865A69-551,2021-01-13,47,2024-01-13,Active
EQ0498,FAC002,AR021,Stability Balls #9,Studio Equipment,Matrix,StabilityBalls-490,22747CBF-705,2023-07-07,21,2024-07-06,Maintenance
EQ0499,FAC002,AR021,Stability Balls #10,Studio Equipment,Cybex,StabilityBalls-319,D9415C3A-7CC,2024-06-13,31,2026-06-13,Active
EQ0500,FAC002,AR021,Stability Balls #11,Studio Equipment,StairMaster,StabilityBalls-671,AC710289-F9D,2024-02-05,59,2026-02-04,Maintenance
EQ0501,FAC002,AR021,Stability Balls #12,Studio Equipment,Matrix,StabilityBalls-501,51BF801C-90A,2021-12-14,58,2024-12-13,Maintenance
EQ0502,FAC002,AR021,Stability Balls #13,Studio Equipment,Cybex,StabilityBalls-120,FC0CCB6D-49F,2025-07-08,43,2026-07-08,Active
EQ0503,FAC002,AR021,Stability Balls #14,Studio Equipment,Precor,StabilityBalls-380,0180CC0C-D3B,2023-01-21,45,2025-01-20,Active
EQ0504,FAC002,AR021,Stability Balls #15,Studio Equipment,NordicTrack,StabilityBalls-552,E77D60A3-DDF,2021-02-19,32,2024-02-19,Active
EQ0505,FAC002,AR021,Stability Balls #16,Studio Equipment,NordicTrack,StabilityBalls-207,9AF520E9-63F,2022-08-22,56,2025-08-21,Active
EQ0506,FAC003,AR023,Dumbbells #1,Free Weights,Schwinn,Dumbbells-176,73C9A762-911,2025-08-08,68,2026-08-08,Active
EQ0507,FAC003,AR023,Dumbbells #2,Free Weights,NordicTrack,Dumbbells-820,102A3E97-985,2022-11-01,93,2023-11-01,Active
EQ0508,FAC003,AR023,Dumbbells #3,Free Weights,StairMaster,Dumbbells-798,A74FF49D-F36,2024-06-04,115,2026-06-04,Active
EQ0509,FAC003,AR023,Dumbbells #4,Free Weights,Technogym,Dumbbells-683,B5477A7B-3AA,2025-05-08,139,2026-05-08,Active
EQ0510,FAC003,AR023,Dumbbells #5,Free Weights,StairMaster,Dumbbells-459,5182D02A-140,2025-08-06,134,2026-08-06,Active
EQ0511,FAC003,AR023,Dumbbells #6,Free Weights,Technogym,Dumbbells-470,4323EDF2-2DC,2021-06-23,93,2024-06-22,Maintenance
EQ0512,FAC003,AR023,Dumbbells #7,Free Weights,Precor,Dumbbells-883,98ACF1A3-696,2025-08-05,78,2027-08-05,Active
EQ0513,FAC003,AR023,Dumbbells #8,Free Weights,TRX,Dumbbells-149,C70DACDE-8D5,2024-12-03,105,2027-12-03,Active
EQ0514,FAC003,AR023,Dumbbells #9,Free Weights,TRX,Dumbbells-454,8E2C98C4-F15,2023-04-01,193,2025-03-31,Out of Service
EQ0515,FAC003,AR023,Dumbbells #10,Free Weights,Technogym,Dumbbells-562,C6468973-E36,2022-05-24,151,2023-05-24,Active
EQ0516,FAC003,AR023,Dumbbells #11,Free Weights,NordicTrack,Dumbbells-634,1701F634-506,2020-10-05,193,2021-10-05,Active
EQ0517,FAC003,AR023,Dumbbells #12,Free Weights,StairMaster,Dumbbells-581,F6E23F20-6B0,2021-07-16,165,2023-07-16,Active
EQ0518,FAC003,AR023,Dumbbells #13,Free Weights,StairMaster,Dumbbells-858,3431AF66-682,2022-01-08,139,2023-01-08,Maintenance
EQ0519,FAC003,AR023,Dumbbells #14,Free Weights,Precor,Dumbbells-518,558B757E-C71,2025-09-14,111,2027-09-14,Active
EQ0520,FAC003,AR023,Dumbbells #15,Free Weights,NordicTrack,Dumbbells-135,3EDDA4C3-4E5,2021-10-29,186,2024-10-28,Active
EQ0521,FAC003,AR023,Dumbbells #16,Free Weights,Life Fitness,Dumbbells-710,8A458313-2D8,2023-11-13,184,2024-11-12,Active
EQ0522,FAC003,AR023,Dumbbells #17,Free Weights,Matrix,Dumbbells-903,4564D001-7BF,2021-12-10,63,2024-12-09,Active
EQ0523,FAC003,AR023,Dumbbells #18,Free Weights,NordicTrack,Dumbbells-150,8D69D91B-ADC,2025-07-23,110,2026-07-23,Active
EQ0524,FAC003,AR023,Dumbbells #19,Free Weights,Cybex,Dumbbells-409,022C9AAF-8AA,2021-02-17,194,2023-02-17,Active
EQ0525,FAC003,AR023,Dumbbells #20,Free Weights,Precor,Dumbbells-456,7A0F175D-5DD,2024-03-29,150,2026-03-29,Active
EQ0526,FAC003,AR023,Dumbbells #21,Free Weights,Precor,Dumbbells-527,727A2F4F-1D8,2023-05-14,171,2026-05-13,Active
EQ0527,FAC003,AR023,Dumbbells #22,Free Weights,Bowflex,Dumbbells-942,8725BA7A-C13,2023-03-08,169,2024-03-07,Out of Service
EQ0528,FAC003,AR023,Dumbbells #23,Free Weights,Matrix,Dumbbells-863,5F230DF0-0E4,2025-03-27,64,2026-03-27,Active
EQ0529,FAC003,AR023,Dumbbells #24,Free Weights,NordicTrack,Dumbbells-821,D58E337D-DF3,2022-01-21,124,2024-01-21,Active
EQ0530,FAC003,AR023,Dumbbells #25,Free Weights,Cybex,Dumbbells-455,5CFB2B7E-631,2022-08-10,84,2023-08-10,Active
EQ0531,FAC003,AR023,Dumbbells #26,Free Weights,Precor,Dumbbells-236,FF396681-12D,2021-10-03,163,2022-10-03,Active
EQ0532,FAC003,AR023,Dumbbells #27,Free Weights,Matrix,Dumbbells-759,A1C8E921-B71,2024-02-06,89,2025-02-05,Maintenance
EQ0533,FAC003,AR023,Dumbbells #28,Free Weights,Life Fitness,Dumbbells-102,E19A27E5-0EA,2024-08-01,119,2026-08-01,Active
EQ0534,FAC003,AR023,Kettlebells #1,Free Weights,Life Fitness,Kettlebells-409,DEC69BDC-6B6,2021-01-12,66,2023-01-12,Active
EQ0535,FAC003,AR023,Kettlebells #2,Free Weights,NordicTrack,Kettlebells-524,2CB23A21-281,2024-11-22,109,2026-11-22,Active
EQ0536,FAC003,AR023,Kettlebells #3,Free Weights,StairMaster,Kettlebells-158,7C9AE213-F83,2021-12-28,46,2023-12-28,Active
EQ0537,FAC003,AR023,Kettlebells #4,Free Weights,NordicTrack,Kettlebells-779,32C2589B-B9E,2024-10-23,122,2025-10-23,Active
EQ0538,FAC003,AR023,Kettlebells #5,Free Weights,Precor,Kettlebells-156,FF6867B5-C79,2020-12-19,144,2021-12-19,Maintenance
EQ0539,FAC003,AR023,Kettlebells #6,Free Weights,Bowflex,Kettlebells-766,B4AE81C3-963,2021-12-05,51,2023-12-05,Active
EQ0540,FAC003,AR023,Kettlebells #7,Free Weights,Matrix,Kettlebells-282,208AC2D0-442,2025-06-20,101,2027-06-20,Active
EQ0541,FAC003,AR023,Kettlebells #8,Free Weights,NordicTrack,Kettlebells-885,CC7BA262-71C,2024-11-24,121,2025-11-24,Active
EQ0542,FAC003,AR023,Kettlebells #9,Free Weights,Precor,Kettlebells-842,00A52E14-877,2021-08-15,148,2024-08-14,Active
EQ0543,FAC003,AR023,Kettlebells #10,Free Weights,Matrix,Kettlebells-135,07301D7D-D4B,2021-05-13,132,2022-05-13,Active
EQ0544,FAC003,AR023,Kettlebells #11,Free Weights,Bowflex,Kettlebells-643,C879D110-E05,2023-05-01,90,2026-04-30,Active
EQ0545,FAC003,AR023,Kettlebells #12,Free Weights,Precor,Kettlebells-823,0F3C1E21-90B,2025-07-11,113,2027-07-11,Active
EQ0546,FAC003,AR023,Kettlebells #13,Free Weights,Bowflex,Kettlebells-973,542B3FD0-32A,2024-05-27,125,2025-05-27,Active
EQ0547,FAC003,AR023,Kettlebells #14,Free Weights,Precor,Kettlebells-789,768DB850-6F5,2023-06-05,100,2024-06-04,Active
EQ0548,FAC003,AR023,Kettlebells #15,Free Weights,NordicTrack,Kettlebells-506,D48C792E-2E9,2020-12-03,106,2022-12-03,Active
EQ0549,FAC003,AR023,Medicine Balls #1,Free Weights,Precor,MedicineBalls-816,925B080B-6D0,2025-07-15,44,2027-07-15,Active
EQ0550,FAC003,AR023,Medicine Balls #2,Free Weights,Matrix,MedicineBalls-939,0BA469E9-2A6,2024-08-15,36,2025-08-15,Active
EQ0551,FAC003,AR023,Medicine Balls #3,Free Weights,Technogym,MedicineBalls-485,580A0052-777,2022-01-01,57,2024-12-31,Active
EQ0552,FAC003,AR023,Medicine Balls #4,Free Weights,Precor,MedicineBalls-878,94809D48-08D,2023-12-13,37,2025-12-12,Maintenance
EQ0553,FAC003,AR023,Medicine Balls #5,Free Weights,Precor,MedicineBalls-715,DEC1A692-FCD,2022-11-04,61,2024-11-03,Maintenance
EQ0554,FAC003,AR023,Medicine Balls #6,Free Weights,Precor,MedicineBalls-989,9380F701-353,2021-07-14,31,2023-07-14,Maintenance
EQ0555,FAC003,AR023,Medicine Balls #7,Free Weights,Technogym,MedicineBalls-833,339255FE-361,2023-10-02,39,2026-10-01,Active
EQ0556,FAC003,AR023,Medicine Balls #8,Free Weights,TRX,MedicineBalls-867,B636DEAE-F3D,2025-04-20,39,2028-04-19,Active
EQ0557,FAC003,AR023,Medicine Balls #9,Free Weights,Matrix,MedicineBalls-497,5E934336-6A7,2022-10-10,26,2025-10-09,Active
