paymentid,memberid,membershipid,amount,paymentdate,paymentmethod,transactionid,paymenttype,status,processeddate
PAY00001696,MEM001138,MS0001485,89.98,2025-05-23,Debit Card,TXN443762770,Membership + Registration,Completed,2025-05-23
PAY00001697,MEM001139,MS0001486,59.99,2021-02-04,Debit Card,TXN612749850,Membership + Registration,Completed,2021-02-04
PAY00001698,MEM001140,MS0001487,119.98,2024-10-26,Credit Card,TXN427518370,Membership + Registration,Completed,2024-10-26
PAY00001699,MEM001140,MS0001488,59.99,2025-02-10,Credit Card,TXN527036761,Membership + Registration,Completed,2025-02-10
PAY00001700,MEM001141,MS0001489,119.98,2023-02-05,Credit Card,TXN959222445,Membership + Registration,Completed,2023-02-05
PAY00001701,MEM001142,MS0001490,59.99,2021-07-07,Debit Card,TXN853815127,Membership + Registration,Completed,2021-07-07
PAY00001702,MEM001143,MS0001491,119.98,2025-03-14,Debit Card,TXN720570535,Membership + Registration,Completed,2025-03-14
PAY00001703,MEM001144,MS0001492,229.98,2021-06-15,Debit Card,TXN163335308,Membership + Registration,Failed,2021-06-18
PAY00001704,MEM001144,MS0001493,119.98,2021-08-19,Credit Card,TXN376932463,Membership + Registration,Completed,2021-08-19
PAY00001705,MEM001145,MS0001494,119.98,2023-09-15,Credit Card,TXN407361462,Membership + Registration,Completed,2023-09-15
PAY00001706,MEM001146,MS0001495,89.98,2023-04-18,Credit Card,TXN766141856,Membership + Registration,Completed,2023-04-18
PAY00001707,MEM001147,MS0001496,89.98,2025-03-23,Debit Card,TXN276629809,Membership + Registration,Completed,2025-03-23
PAY00001708,MEM001148,MS0001497,89.98,2021-12-18,Cash,TXN480437643,Membership + Registration,Completed,2021-12-18
PAY00001709,MEM001149,MS0001498,119.98,2021-11-30,Credit Card,TXN223746134,Membership + Registration,Completed,2021-11-30
PAY00001710,MEM001150,MS0001499,59.99,2024-11-25,Debit Card,TXN406215228,Membership + Registration,Pending,2024-12-01
PAY00001711,MEM001151,MS0001500,119.98,2021-09-07,Check,TXN361160956,Membership + Registration,Completed,2021-09-07
PAY00001712,MEM001152,MS0001501,59.99,2020-12-29,Credit Card,TXN577656655,Membership + Registration,Completed,2020-12-29
PAY00001713,MEM001153,MS0001502,89.98,2021-03-13,Debit Card,TXN984138796,Membership + Registration,Completed,2021-03-13
PAY00001714,MEM001154,MS0001503,119.98,2025-06-14,Bank Transfer,TXN973603060,Membership + Registration,Completed,2025-06-14
PAY00001715,MEM001155,MS0001504,119.98,2021-07-23,Debit Card,TXN573171310,Membership + Registration,Completed,2021-07-23
PAY00001716,MEM001155,MS0001505,59.99,2021-10-07,Debit Card,TXN991576701,Membership + Registration,Completed,2021-10-07
PAY00001717,MEM001155,MS0001506,119.98,2022-01-23,Credit Card,TXN562222635,Membership + Registration,Completed,2022-01-23
PAY00001718,MEM001156,MS0001507,89.98,2024-09-03,Debit Card,TXN409604414,Membership + Registration,Completed,2024-09-03
PAY00001719,MEM001157,MS0001508,58.33,2024-12-19,Debit Card,TXN811886961,Monthly Membership,Completed,2024-12-19
PAY00001720,MEM001157,MS0001508,58.33,2025-04-18,Credit Card,TXN619078578,Monthly Membership,Completed,2025-04-18
PAY00001721,MEM001157,MS0001508,58.33,2025-08-16,Credit Card,TXN361594454,Monthly Membership,Completed,2025-08-16
PAY00001722,MEM001158,MS0001509,58.33,2024-05-19,Debit Card,TXN413133916,Monthly Membership,Completed,2024-05-19
PAY00001723,MEM001158,MS0001510,229.98,2025-07-13,Credit Card,TXN583361036,Membership + Registration,Completed,2025-07-13
PAY00001724,MEM001159,MS0001511,54.99,2023-02-15,Debit Card,TXN991458327,Membership + Registration,Completed,2023-02-15
PAY00001725,MEM001160,MS0001512,59.99,2022-10-25,Credit Card,TXN370677393,Membership + Registration,Completed,2022-10-25
PAY00001726,MEM001161,MS0001513,54.99,2022-08-31,Credit Card,TXN605286712,Membership + Registration,Completed,2022-08-31
PAY00001727,MEM001162,MS0001514,54.99,2021-10-31,Credit Card,TXN632547716,Monthly Membership,Completed,2021-10-31
PAY00001728,MEM001163,MS0001515,59.99,2021-04-08,Credit Card,TXN990932789,Membership + Registration,Completed,2021-04-08
PAY00001729,MEM001163,MS0001516,59.99,2021-06-30,Bank Transfer,TXN594609299,Membership + Registration,Completed,2021-06-30
PAY00001730,MEM001164,MS0001517,119.98,2022-02-18,Credit Card,TXN709895379,Membership + Registration,Completed,2022-02-18
PAY00001731,MEM001165,MS0001518,89.98,2023-06-10,Credit Card,TXN888035437,Membership + Registration,Completed,2023-06-10
PAY00001732,MEM001166,MS0001519,89.98,2021-04-12,Debit Card,TXN375302447,Membership + Registration,Completed,2021-04-12
PAY00001733,MEM001167,MS0001520,89.98,2021-10-01,Credit Card,TXN266160975,Membership + Registration,Completed,2021-10-01
PAY00001734,MEM001168,MS0001521,59.99,2024-09-08,Credit Card,TXN419336719,Membership + Registration,Completed,2024-09-08
PAY00001735,MEM001169,MS0001522,89.98,2021-07-01,Debit Card,TXN588051950,Membership + Registration,Completed,2021-07-01
PAY00001736,MEM001170,MS0001523,119.98,2021-09-30,Cash,TXN332094906,Membership + Registration,Completed,2021-09-30
PAY00001737,MEM001171,MS0001524,119.98,2024-09-05,Credit Card,TXN689906728,Membership + Registration,Completed,2024-09-05
PAY00001738,MEM001171,MS0001525,58.33,2024-11-24,Credit Card,TXN694856658,Monthly Membership,Completed,2024-11-24
PAY00001739,MEM001171,MS0001525,58.33,2025-03-24,Credit Card,TXN607580139,Monthly Membership,Completed,2025-03-24
PAY00001740,MEM001171,MS0001525,58.33,2025-07-22,Debit Card,TXN609695074,Monthly Membership,Completed,2025-07-22
PAY00001741,MEM001172,MS0001526,119.98,2025-02-21,Credit Card,TXN846765737,Membership + Registration,Completed,2025-02-21
PAY00001742,MEM001173,MS0001527,119.98,2023-08-06,Credit Card,TXN776643927,Membership + Registration,Completed,2023-08-06
PAY00001743,MEM001174,MS0001528,58.33,2024-12-01,Credit Card,TXN954752943,Monthly Membership,Completed,2024-12-01
PAY00001744,MEM001174,MS0001528,58.33,2025-05-30,Credit Card,TXN466715289,Monthly Membership,Completed,2025-05-30
PAY00001745,MEM001175,MS0001529,89.98,2024-06-12,Credit Card,TXN519575723,Membership + Registration,Completed,2024-06-12
PAY00001746,MEM001176,MS0001530,54.99,2021-03-10,Debit Card,TXN850785187,Monthly Membership,Completed,2021-03-10
PAY00001747,MEM001176,MS0001531,89.98,2021-04-22,Credit Card,TXN691334242,Membership + Registration,Completed,2021-04-22
PAY00001748,MEM001177,MS0001532,59.99,2023-08-18,Debit Card,TXN774229148,Membership + Registration,Completed,2023-08-18
PAY00001749,MEM001178,MS0001533,89.98,2022-05-07,Credit Card,TXN974001487,Membership + Registration,Completed,2022-05-07
PAY00001750,MEM001179,MS0001534,119.98,2022-03-01,Bank Transfer,TXN942156345,Membership + Registration,Completed,2022-03-01
PAY00001751,MEM001180,MS0001535,59.99,2022-10-25,Cash,TXN676679382,Membership + Registration,Completed,2022-10-25
PAY00001752,MEM001181,MS0001536,119.98,2023-04-04,Credit Card,TXN359136851,Membership + Registration,Failed,2023-04-06
PAY00001753,MEM001181,MS0001537,119.98,2023-07-10,Credit Card,TXN277545912,Membership + Registration,Refunded,2023-07-17
PAY00001754,MEM001182,MS0001538,59.99,2022-05-16,Cash,TXN389169943,Membership + Registration,Completed,2022-05-16
PAY00001755,MEM001182,MS0001539,119.98,2022-07-12,Debit Card,TXN384106670,Membership + Registration,Completed,2022-07-12
PAY00001756,MEM001183,MS0001540,58.33,2024-01-13,Credit Card,TXN619874439,Monthly Membership,Refunded,2024-01-19
PAY00001757,MEM001184,MS0001541,119.98,2021-01-07,Credit Card,TXN114555758,Membership + Registration,Completed,2021-01-07
PAY00001758,MEM001184,MS0001542,58.33,2021-04-02,Debit Card,TXN143973330,Monthly Membership,Completed,2021-04-02
PAY00001759,MEM001184,MS0001542,58.33,2021-07-31,Credit Card,TXN642061620,Monthly Membership,Completed,2021-07-31
PAY00001760,MEM001184,MS0001542,58.33,2021-11-28,Credit Card,TXN881077228,Monthly Membership,Completed,2021-11-28
PAY00001761,MEM001184,MS0001543,119.98,2022-05-25,Credit Card,TXN712667678,Membership + Registration,Completed,2022-05-25
PAY00001762,MEM001185,MS0001544,58.33,2022-12-20,Credit Card,TXN851257457,Monthly Membership,Completed,2022-12-20
PAY00001763,MEM001185,MS0001544,58.33,2023-06-18,Credit Card,TXN735587247,Monthly Membership,Completed,2023-06-18
PAY00001764,MEM001185,MS0001545,229.98,2024-02-28,Debit Card,TXN194339071,Membership + Registration,Completed,2024-02-28
PAY00001765,MEM001186,MS0001546,229.98,2024-08-17,Credit Card,TXN495649108,Membership + Registration,Completed,2024-08-17
PAY00001766,MEM001186,MS0001547,229.98,2024-11-30,Credit Card,TXN690267290,Membership + Registration,Completed,2024-11-30
PAY00001767,MEM001186,MS0001548,54.99,2025-01-30,Credit Card,TXN131545585,Monthly Membership,Completed,2025-01-30
PAY00001768,MEM001187,MS0001549,229.98,2023-04-23,Debit Card,TXN854731580,Membership + Registration,Completed,2023-04-23
PAY00001769,MEM001188,MS0001550,54.99,2021-01-08,Credit Card,TXN477919964,Monthly Membership,Completed,2021-01-08
PAY00001770,MEM001189,MS0001551,119.98,2023-11-05,Bank Transfer,TXN301620989,Membership + Registration,Completed,2023-11-05
PAY00001771,MEM001190,MS0001552,58.33,2023-01-06,Credit Card,TXN562409048,Monthly Membership,Completed,2023-01-06
PAY00001772,MEM001190,MS0001552,58.33,2023-07-05,Credit Card,TXN571624834,Monthly Membership,Completed,2023-07-05
PAY00001773,MEM001191,MS0001553,59.99,2024-06-12,Cash,TXN853058059,Membership + Registration,Completed,2024-06-12
PAY00001774,MEM001192,MS0001554,119.98,2023-04-28,Cash,TXN926310740,Membership + Registration,Completed,2023-04-28
PAY00001775,MEM001192,MS0001555,59.99,2023-08-13,Credit Card,TXN281391717,Membership + Registration,Completed,2023-08-13
PAY00001776,MEM001193,MS0001556,58.33,2024-12-04,Debit Card,TXN155208026,Monthly Membership,Completed,2024-12-04
PAY00001777,MEM001193,MS0001557,89.98,2026-01-30,Debit Card,TXN202801491,Membership + Registration,Completed,2026-01-30
PAY00001778,MEM001194,MS0001558,89.98,2024-12-01,Credit Card,TXN228273796,Membership + Registration,Completed,2024-12-01
PAY00001779,MEM001195,MS0001559,54.99,2021-05-27,Check,TXN180435065,Membership + Registration,Completed,2021-05-27
PAY00001780,MEM001196,MS0001560,229.98,2024-04-15,Bank Transfer,TXN933018197,Membership + Registration,Refunded,2024-04-15
PAY00001781,MEM001197,MS0001561,119.98,2024-04-21,Credit Card,TXN339307718,Membership + Registration,Completed,2024-04-21
PAY00001782,MEM001198,MS0001562,119.98,2024-01-21,Credit Card,TXN642840265,Membership + Registration,Completed,2024-01-21
PAY00001783,MEM001199,MS0001563,58.33,2020-12-22,Credit Card,TXN267663335,Monthly Membership,Completed,2020-12-22
PAY00001784,MEM001200,MS0001564,119.98,2023-04-29,Credit Card,TXN967221885,Membership + Registration,Completed,2023-04-29
PAY00001785,MEM001201,MS0001565,58.33,2021-08-10,Credit Card,TXN259748785,Monthly Membership,Completed,2021-08-10
PAY00001786,MEM001201,MS0001565,58.33,2022-02-06,Cash,TXN848231053,Monthly Membership,Completed,2022-02-06
PAY00001787,MEM001202,MS0001566,54.99,2024-03-03,Cash,TXN560769594,Membership + Registration,Completed,2024-03-03
PAY00001788,MEM001202,MS0001567,89.98,2024-05-19,Credit Card,TXN525136438,Membership + Registration,Completed,2024-05-19
PAY00001789,MEM001203,MS0001568,89.98,2023-08-23,Credit Card,TXN113789737,Membership + Registration,Completed,2023-08-23
PAY00001790,MEM001204,MS0001569,54.99,2022-07-31,Credit Card,TXN814022854,Monthly Membership,Completed,2022-07-31
PAY00001791,MEM001205,MS0001570,229.98,2023-05-03,Credit Card,TXN370132743,Membership + Registration,Completed,2023-05-03
PAY00001792,MEM001206,MS0001571,89.98,2022-02-09,Credit Card,TXN175476856,Membership + Registration,Completed,2022-02-09
PAY00001793,MEM001207,MS0001572,229.98,2023-07-28,Credit Card,TXN397922969,Membership + Registration,Completed,2023-07-28
PAY00001794,MEM001208,MS0001573,229.98,2021-09-05,Credit Card,TXN676282272,Membership + Registration,Completed,2021-09-05
PAY00001795,MEM001209,MS0001574,119.98,2025-07-02,Credit Card,TXN484173589,Membership + Registration,Completed,2025-07-02
PAY00001796,MEM001209,MS0001575,54.99,2025-09-30,Credit Card,TXN599634703,Monthly Membership,Completed,2025-09-30
PAY00001797,MEM001210,MS0001576,119.98,2024-03-02,Credit Card,TXN971031159,Membership + Registration,Completed,2024-03-02
PAY00001798,MEM001210,MS0001577,54.99,2024-05-30,Debit Card,TXN861823988,Monthly Membership,Completed,2024-05-30
PAY00001799,MEM001211,MS0001578,59.99,2023-03-24,Credit Card,TXN272180122,Membership + Registration,Completed,2023-03-24
PAY00001800,MEM001212,MS0001579,54.99,2021-04-10,Check,TXN788174848,Membership + Registration,Completed,2021-04-10
PAY00001801,MEM001213,MS0001580,54.99,2024-08-28,Credit Card,TXN570862831,Monthly Membership,Completed,2024-08-28
PAY00001802,MEM001214,MS0001581,89.98,2021-11-09,Debit Card,TXN852144281,Membership + Registration,Completed,2021-11-09
PAY00001803,MEM001215,MS0001582,89.98,2022-06-20,Credit Card,TXN982499006,Membership + Registration,Completed,2022-06-20
PAY00001804,MEM001216,MS0001583,119.98,2024-11-26,Credit Card,TXN263239358,Membership + Registration,Refunded,2024-11-27
PAY00001805,MEM001217,MS0001584,119.98,2021-01-23,Credit Card,TXN396628928,Membership + Registration,Completed,2021-01-23
PAY00001806,MEM001218,MS0001585,119.98,2025-08-30,Credit Card,TXN116636431,Membership + Registration,Completed,2025-08-30
PAY00001807,MEM001219,MS0001586,229.98,2024-05-04,Credit Card,TXN807827449,Membership + Registration,Completed,2024-05-04
PAY00001808,MEM001220,MS0001587,119.98,2020-11-11,Credit Card,TXN597207683,Membership + Registration,Completed,2020-11-11
PAY00001809,MEM001220,MS0001588,119.98,2021-01-13,Credit Card,TXN124849223,Membership + Registration,Completed,2021-01-13
PAY00001810,MEM001221,MS0001589,54.99,2024-02-20,Credit Card,TXN136264433,Monthly Membership,Completed,2024-02-20
PAY00001811,MEM001222,MS0001590,58.33,2025-07-22,Check,TXN491842681,Monthly Membership,Completed,2025-07-22
PAY00001812,MEM001222,MS0001590,58.33,2026-01-18,Bank Transfer,TXN890153770,Monthly Membership,Completed,2026-01-18
PAY00001813,MEM001223,MS0001591,54.99,2020-11-25,Debit Card,TXN641997645,Monthly Membership,Completed,2020-11-25
PAY00001814,MEM001224,MS0001592,58.33,2021-01-12,Credit Card,TXN768561935,Monthly Membership,Completed,2021-01-12
PAY00001815,MEM001225,MS0001593,119.98,2022-06-16,Credit Card,TXN612157865,Membership + Registration,Completed,2022-06-16
PAY00001816,MEM001226,MS0001594,89.98,2024-08-19,Debit Card,TXN221886845,Membership + Registration,Completed,2024-08-19
PAY00001817,MEM001227,MS0001595,89.98,2023-07-09,Credit Card,TXN813727095,Membership + Registration,Completed,2023-07-09
PAY00001818,MEM001228,MS0001596,119.98,2021-01-21,Debit Card,TXN571647920,Membership + Registration,Completed,2021-01-21
PAY00001819,MEM001228,MS0001597,229.98,2021-04-24,Credit Card,TXN250233877,Membership + Registration,Completed,2021-04-24
PAY00001820,MEM001229,MS0001598,59.99,2023-03-12,Debit Card,TXN202715740,Membership + Registration,Completed,2023-03-12
PAY00001821,MEM001229,MS0001599,59.99,2023-06-25,Debit Card,TXN911387291,Membership + Registration,Completed,2023-06-25
PAY00001822,MEM001230,MS0001600,229.98,2021-05-05,Credit Card,TXN471690759,Membership + Registration,Completed,2021-05-05
PAY00001823,MEM001231,MS0001601,119.98,2022-01-30,Credit Card,TXN563823680,Membership + Registration,Completed,2022-01-30
PAY00001824,MEM001231,MS0001602,58.33,2022-04-21,Credit Card,TXN258278882,Monthly Membership,Completed,2022-04-21
PAY00001825,MEM001231,MS0001602,58.33,2022-08-19,Credit Card,TXN829354917,Monthly Membership,Completed,2022-08-19
PAY00001826,MEM001231,MS0001602,58.33,2022-12-17,Credit Card,TXN896725676,Monthly Membership,Completed,2022-12-17
PAY00001827,MEM001232,MS0001603,89.98,2024-03-15,Debit Card,TXN711024262,Membership + Registration,Completed,2024-03-15
PAY00001828,MEM001232,MS0001604,119.98,2024-06-04,Check,TXN541924026,Membership + Registration,Refunded,2024-06-04
PAY00001829,MEM001233,MS0001605,58.33,2025-08-02,Debit Card,TXN853898764,Monthly Membership,Completed,2025-08-02
PAY00001830,MEM001234,MS0001606,59.99,2024-04-02,Debit Card,TXN513033742,Membership + Registration,Completed,2024-04-02
PAY00001831,MEM001235,MS0001607,59.99,2021-03-06,Bank Transfer,TXN542935578,Membership + Registration,Completed,2021-03-06
PAY00001832,MEM001235,MS0001608,119.98,2021-06-30,Bank Transfer,TXN627119318,Membership + Registration,Completed,2021-06-30
PAY00001833,MEM001236,MS0001609,54.99,2023-11-06,Credit Card,TXN324477494,Monthly Membership,Completed,2023-11-06
PAY00001834,MEM001237,MS0001610,89.98,2025-01-31,Check,TXN355006426,Membership + Registration,Completed,2025-01-31
PAY00001835,MEM001238,MS0001611,59.99,2022-08-31,Credit Card,TXN492630517,Membership + Registration,Completed,2022-08-31
PAY00001836,MEM001239,MS0001612,59.99,2021-07-04,Credit Card,TXN754123012,Membership + Registration,Completed,2021-07-04
PAY00001837,MEM001240,MS0001613,119.98,2023-06-21,Credit Card,TXN729823373,Membership + Registration,Completed,2023-06-21
PAY00001838,MEM001241,MS0001614,89.98,2022-02-23,Credit Card,TXN122462883,Membership + Registration,Completed,2022-02-23
PAY00001839,MEM001242,MS0001615,119.98,2025-04-16,Debit Card,TXN517913092,Membership + Registration,Completed,2025-04-16
PAY00001840,MEM001243,MS0001616,89.98,2022-05-31,Credit Card,TXN804651522,Membership + Registration,Completed,2022-05-31
PAY00001841,MEM001243,MS0001617,119.98,2022-08-29,Credit Card,TXN341237372,Membership + Registration,Completed,2022-08-29
PAY00001842,MEM001244,MS0001618,59.99,2024-05-19,Debit Card,TXN330177658,Membership + Registration,Completed,2024-05-19
PAY00001843,MEM001244,MS0001619,59.99,2024-07-17,Credit Card,TXN410516990,Membership + Registration,Completed,2024-07-17
PAY00001844,MEM001245,MS0001620,119.98,2023-08-03,Credit Card,TXN480371535,Membership + Registration,Completed,2023-08-03
PAY00001845,MEM001246,MS0001621,54.99,2022-03-06,Credit Card,TXN692769115,Monthly Membership,Completed,2022-03-06
PAY00001846,MEM001247,MS0001622,54.99,2020-10-04,Credit Card,TXN422507437,Monthly Membership,Refunded,2020-10-11
PAY00001847,MEM001248,MS0001623,58.33,2023-06-12,Bank Transfer,TXN756710493,Monthly Membership,Completed,2023-06-12
PAY00001848,MEM001248,MS0001623,58.33,2023-12-09,Credit Card,TXN242948342,Monthly Membership,Completed,2023-12-09
PAY00001849,MEM001249,MS0001624,99.99,2023-12-30,Debit Card,TXN826892264,Monthly Membership,Refunded,2024-01-06
PAY00001850,MEM001249,MS0001624,99.99,2024-06-27,Check,TXN108620982,Monthly Membership,Completed,2024-06-27
PAY00001851,MEM001250,MS0001625,58.33,2025-04-16,Credit Card,TXN227131463,Monthly Membership,Refunded,2025-04-19
PAY00001852,MEM001250,MS0001626,99.99,2026-04-29,Debit Card,TXN478792900,Monthly Membership,Refunded,2026-05-02
PAY00001853,MEM001251,MS0001627,58.33,2023-05-06,Bank Transfer,TXN383570609,Monthly Membership,Completed,2023-05-06
PAY00001854,MEM001251,MS0001627,58.33,2023-09-03,Cash,TXN667481822,Monthly Membership,Completed,2023-09-03
PAY00001855,MEM001251,MS0001627,58.33,2024-01-01,Credit Card,TXN205196153,Monthly Membership,Completed,2024-01-01
PAY00001856,MEM001252,MS0001628,119.98,2021-06-18,Credit Card,TXN823673342,Membership + Registration,Completed,2021-06-18
PAY00001857,MEM001252,MS0001629,119.98,2021-08-19,Credit Card,TXN158852408,Membership + Registration,Completed,2021-08-19
PAY00001858,MEM001253,MS0001630,119.98,2024-04-07,Debit Card,TXN783366751,Membership + Registration,Completed,2024-04-07
PAY00001859,MEM001253,MS0001631,59.99,2024-08-04,Credit Card,TXN524402270,Membership + Registration,Completed,2024-08-04
PAY00001860,MEM001254,MS0001632,89.98,2023-01-27,Credit Card,TXN418599397,Membership + Registration,Completed,2023-01-27
PAY00001861,MEM001254,MS0001633,59.99,2023-04-20,Credit Card,TXN716798034,Membership + Registration,Completed,2023-04-20
PAY00001862,MEM001255,MS0001634,229.98,2023-12-15,Credit Card,TXN277560129,Membership + Registration,Completed,2023-12-15
PAY00001863,MEM001256,MS0001635,58.33,2023-03-18,Bank Transfer,TXN792327982,Monthly Membership,Completed,2023-03-18
PAY00001864,MEM001256,MS0001635,58.33,2023-09-14,Credit Card,TXN592895928,Monthly Membership,Completed,2023-09-14
PAY00001865,MEM001257,MS0001636,229.98,2025-05-17,Debit Card,TXN702651451,Membership + Registration,Completed,2025-05-17
PAY00001866,MEM001257,MS0001637,89.98,2025-07-10,Credit Card,TXN485646180,Membership + Registration,Completed,2025-07-10
PAY00001867,MEM001258,MS0001638,119.98,2025-06-23,Credit Card,TXN131937670,Membership + Registration,Completed,2025-06-23
PAY00001868,MEM001259,MS0001639,119.98,2024-11-02,Credit Card,TXN822807794,Membership + Registration,Completed,2024-11-02
PAY00001869,MEM001260,MS0001640,89.98,2024-01-30,Bank Transfer,TXN381311184,Membership + Registration,Completed,2024-01-30
PAY00001870,MEM001260,MS0001641,59.99,2024-03-03,Debit Card,TXN803898681,Membership + Registration,Completed,2024-03-03
PAY00001871,MEM001261,MS0001642,89.98,2022-12-20,Cash,TXN180050153,Membership + Registration,Completed,2022-12-20
PAY00001872,MEM001262,MS0001643,229.98,2023-02-12,Credit Card,TXN181274872,Membership + Registration,Completed,2023-02-12
PAY00001873,MEM001263,MS0001644,89.98,2023-02-25,Credit Card,TXN225220163,Membership + Registration,Completed,2023-02-25
PAY00001874,MEM001264,MS0001645,229.98,2021-10-27,Credit Card,TXN102918554,Membership + Registration,Completed,2021-10-27
PAY00001875,MEM001264,MS0001646,89.98,2022-01-22,Credit Card,TXN487794399,Membership + Registration,Completed,2022-01-22
PAY00001876,MEM001265,MS0001647,58.33,2024-03-27,Credit Card,TXN495389188,Monthly Membership,Completed,2024-03-27
PAY00001877,MEM001265,MS0001647,58.33,2024-09-23,Credit Card,TXN320276777,Monthly Membership,Completed,2024-09-23
PAY00001878,MEM001265,MS0001648,58.33,2025-06-06,Credit Card,TXN148008894,Monthly Membership,Pending,2025-06-11
PAY00001879,MEM001265,MS0001648,58.33,2025-10-04,Credit Card,TXN331173538,Monthly Membership,Completed,2025-10-04
PAY00001880,MEM001265,MS0001648,58.33,2026-02-01,Credit Card,TXN948399387,Monthly Membership,Completed,2026-02-01
PAY00001881,MEM001266,MS0001649,54.99,2023-07-07,Debit Card,TXN711599766,Membership + Registration,Completed,2023-07-07
PAY00001882,MEM001266,MS0001650,54.99,2023-09-18,Debit Card,TXN970263377,Membership + Registration,Completed,2023-09-18
PAY00001883,MEM001267,MS0001651,59.99,2024-06-14,Credit Card,TXN621612188,Membership + Registration,Completed,2024-06-14
PAY00001884,MEM001268,MS0001652,89.98,2022-05-13,Credit Card,TXN187224322,Membership + Registration,Completed,2022-05-13
PAY00001885,MEM001269,MS0001653,119.98,2024-05-24,Debit Card,TXN242203423,Membership + Registration,Pending,2024-05-24
PAY00001886,MEM001270,MS0001654,229.98,2021-06-12,Check,TXN304266152,Membership + Registration,Completed,2021-06-12
PAY00001887,MEM001271,MS0001655,119.98,2021-07-26,Credit Card,TXN550923649,Membership + Registration,Completed,2021-07-26
PAY00001888,MEM001271,MS0001656,89.98,2021-09-17,Credit Card,TXN282875753,Membership + Registration,Completed,2021-09-17
PAY00001889,MEM001272,MS0001657,59.99,2022-02-10,Credit Card,TXN637439607,Membership + Registration,Completed,2022-02-10
PAY00001890,MEM001273,MS0001658,229.98,2024-01-25,Credit Card,TXN616412257,Membership + Registration,Completed,2024-01-25
PAY00001891,MEM001274,MS0001659,229.98,2024-06-11,Credit Card,TXN138449041,Membership + Registration,Completed,2024-06-11
PAY00001892,MEM001275,MS0001660,59.99,2022-02-15,Cash,TXN164602049,Membership + Registration,Completed,2022-02-15
PAY00001893,MEM001276,MS0001661,59.99,2023-01-17,Debit Card,TXN281977228,Membership + Registration,Completed,2023-01-17
PAY00001894,MEM001277,MS0001662,59.99,2020-12-16,Credit Card,TXN234033328,Membership + Registration,Completed,2020-12-16
PAY00001895,MEM001277,MS0001663,59.99,2021-01-28,Debit Card,TXN449088701,Membership + Registration,Completed,2021-01-28
PAY00001896,MEM001278,MS0001664,119.98,2021-03-05,Debit Card,TXN611893836,Membership + Registration,Completed,2021-03-05
PAY00001897,MEM001279,MS0001665,59.99,2025-06-03,Credit Card,TXN727036951,Membership + Registration,Completed,2025-06-03
PAY00001898,MEM001279,MS0001666,119.98,2025-09-13,Credit Card,TXN861921616,Membership + Registration,Completed,2025-09-13
PAY00001899,MEM001280,MS0001667,89.98,2025-03-20,Credit Card,TXN269069237,Membership + Registration,Completed,2025-03-20
PAY00001900,MEM001281,MS0001668,58.33,2023-09-28,Credit Card,TXN770541367,Monthly Membership,Completed,2023-09-28
PAY00001901,MEM001282,MS0001669,54.99,2022-03-04,Debit Card,TXN920424830,Monthly Membership,Completed,2022-03-04
PAY00001902,MEM001282,MS0001670,119.98,2022-06-08,Debit Card,TXN396745851,Membership + Registration,Completed,2022-06-08
PAY00001903,MEM001283,MS0001671,59.99,2021-02-11,Cash,TXN616008167,Membership + Registration,Completed,2021-02-11
PAY00001904,MEM001284,MS0001672,119.98,2024-03-24,Credit Card,TXN470716458,Membership + Registration,Completed,2024-03-24
PAY00001905,MEM001285,MS0001673,58.33,2020-11-12,Credit Card,TXN665586441,Monthly Membership,Completed,2020-11-12
PAY00001906,MEM001286,MS0001674,58.33,2023-08-25,Bank Transfer,TXN258069770,Monthly Membership,Completed,2023-08-25
PAY00001907,MEM001286,MS0001674,58.33,2024-02-21,Credit Card,TXN539108871,Monthly Membership,Pending,2024-02-28
PAY00001908,MEM001286,MS0001675,54.99,2024-08-28,Credit Card,TXN893103075,Monthly Membership,Completed,2024-08-28
PAY00001909,MEM001287,MS0001676,89.98,2020-11-30,Credit Card,TXN664667361,Membership + Registration,Completed,2020-11-30
PAY00001910,MEM001287,MS0001677,54.99,2021-03-04,Credit Card,TXN190356002,Monthly Membership,Completed,2021-03-04
PAY00001911,MEM001288,MS0001678,54.99,2025-01-18,Credit Card,TXN768445779,Monthly Membership,Completed,2025-01-18
PAY00001912,MEM001289,MS0001679,58.33,2021-11-20,Bank Transfer,TXN513862449,Monthly Membership,Completed,2021-11-20
PAY00001913,MEM001289,MS0001680,58.33,2023-01-20,Debit Card,TXN103126216,Monthly Membership,Completed,2023-01-20
PAY00001914,MEM001290,MS0001681,58.33,2021-01-27,Credit Card,TXN659551160,Monthly Membership,Completed,2021-01-27
PAY00001915,MEM001290,MS0001682,119.98,2022-04-16,Credit Card,TXN274779230,Membership + Registration,Completed,2022-04-16
PAY00001916,MEM001291,MS0001683,119.98,2025-05-17,Debit Card,TXN571281740,Membership + Registration,Completed,2025-05-17
PAY00001917,MEM001292,MS0001684,54.99,2022-08-09,Debit Card,TXN736697948,Membership + Registration,Completed,2022-08-09
PAY00001918,MEM001292,MS0001685,54.99,2022-09-13,Credit Card,TXN277530483,Membership + Registration,Completed,2022-09-13
PAY00001919,MEM001293,MS0001686,89.98,2023-09-29,Credit Card,TXN359628853,Membership + Registration,Completed,2023-09-29
PAY00001920,MEM001294,MS0001687,229.98,2021-04-23,Credit Card,TXN133755389,Membership + Registration,Completed,2021-04-23
